work_year;experience_level;employment_type;job_title;salary;salary_currency;salary_in_usd;employee_residence;remote_ratio;company_location;company_size
2023;Senior;FT;Principal Data SciEntry leveltist;80000;EUR;85847;ES;100;ES;L
2023;Mid/Intermediate level;CT;ML Entry levelgineer;30000;USD;30000;US;100;US;S
2023;Mid/Intermediate level;CT;ML Entry levelgineer;25500;USD;25500;US;100;US;S
2023;Senior;FT;Data SciEntry leveltist;175000;USD;175000;CA;100;CA;M
2023;Senior;FT;Data SciEntry leveltist;120000;USD;120000;CA;100;CA;M
2023;Senior;FT;Applied SciEntry leveltist;222200;USD;222200;US;0;US;L
2023;Senior;FT;Applied SciEntry leveltist;136000;USD;136000;US;0;US;L
2023;Senior;FT;Data SciEntry leveltist;219000;USD;219000;CA;0;CA;M
2023;Senior;FT;Data SciEntry leveltist;141000;USD;141000;CA;0;CA;M
2023;Senior;FT;Data SciEntry leveltist;147100;USD;147100;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;90700;USD;90700;US;0;US;M
2023;Senior;FT;Data Analyst;130000;USD;130000;US;100;US;M
2023;Senior;FT;Data Analyst;100000;USD;100000;US;100;US;M
2023;Entry level;FT;Applied SciEntry leveltist;213660;USD;213660;US;0;US;L
2023;Entry level;FT;Applied SciEntry leveltist;130760;USD;130760;US;0;US;L
2023;Senior;FT;Data Modeler;147100;USD;147100;US;0;US;M
2023;Senior;FT;Data Modeler;90700;USD;90700;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;170000;USD;170000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;150000;USD;150000;US;0;US;M
2023;Mid/Intermediate level;FT;Data Analyst;150000;USD;150000;US;100;US;M
2023;Mid/Intermediate level;FT;Data Analyst;110000;USD;110000;US;100;US;M
2023;Senior;FT;ReSeniorntry leveliorarch Entry levelgineer;275000;USD;275000;DE;0;DE;M
2023;Senior;FT;ReSeniorntry leveliorarch Entry levelgineer;174000;USD;174000;DE;0;DE;M
2023;Senior;FT;Analytics Entry levelgineer;230000;USD;230000;GB;100;GB;M
2023;Senior;FT;Analytics Entry levelgineer;143200;USD;143200;GB;100;GB;M
2023;Senior;FT;Business IntelligEntry levelce Entry levelgineer;225000;USD;225000;US;0;US;M
2023;Senior;FT;Business IntelligEntry levelce Entry levelgineer;156400;USD;156400;US;0;US;M
2023;Senior;FT;ML Entry levelgineer;200000;USD;200000;US;0;US;M
2023;Senior;FT;ML Entry levelgineer;130000;USD;130000;US;0;US;M
2023;Senior;FT;Data Strategist;90000;USD;90000;CA;0;CA;M
